r,e,y,AnnualEmissions
KENYA,CO2,2019,1.081
KENYA,CO2,2020,1.2289
KENYA,CO2,2021,1.2647
KENYA,CO2,2022,0.3736
KENYA,CO2,2023,0.3995
KENYA,CO2,2024,0.6419
KENYA,CO2,2025,0.4391
KENYA,CO2,2026,0.1041
KENYA,CO2,2027,0.2209
KENYA,CO2,2028,0.2623
KENYA,CO2,2029,0.2201
KENYA,CO2,2030,0.4577
KENYA,CO2,2031,0.4896
KENYA,CO2,2032,0.6839
KENYA,CO2,2033,0.8704
KENYA,CO2,2034,0.5869
KENYA,CO2,2035,0.9225
KENYA,CO2,2036,0.4856
KENYA,CO2,2037,0.5164
KENYA,CO2,2038,0.7075
KENYA,CO2,2039,0.6261
KENYA,CO2,2040,0.4751
KENYA,CO2,2041,0.6083
KENYA,CO2,2042,0.6498
KENYA,CO2,2043,1.0766
KENYA,CO2,2044,2.1295
KENYA,CO2,2045,3.9506
KENYA,CO2,2046,4.935
KENYA,CO2,2047,6.1048
KENYA,CO2,2048,7.4284
KENYA,CO2,2049,8.4526
KENYA,CO2,2050,8.6869
