r,s,y,StorageLevelYearStart
KENYA,BESS001,2028,0.5225
KENYA,BESS001,2029,0.7378
KENYA,BESS001,2030,0.9586
KENYA,BESS001,2031,0.9586
KENYA,BESS001,2032,1.0673
KENYA,BESS001,2033,1.099
KENYA,BESS001,2034,1.5377
KENYA,BESS001,2035,1.5811
KENYA,BESS001,2036,1.5935
KENYA,BESS001,2037,1.6357
KENYA,BESS001,2038,1.1132
KENYA,BESS001,2039,0.898
KENYA,BESS001,2040,0.897
KENYA,BESS001,2041,0.897
KENYA,BESS001,2042,0.9734
KENYA,BESS001,2043,2.5991
KENYA,BESS001,2044,3.2738
KENYA,BESS001,2045,4.9285
KENYA,BESS001,2046,8.191
KENYA,BESS001,2047,12.605
KENYA,BESS001,2048,18.4994
KENYA,BESS001,2049,18.4994
KENYA,BESS001,2050,18.2795
KENYA,PHS001,2037,0.0004
KENYA,PHS001,2038,0.0014
KENYA,PHS001,2039,0.0014
KENYA,PHS001,2040,0.0014
KENYA,PHS001,2041,0.0014
KENYA,PHS001,2042,0.0014
KENYA,PHS001,2043,0.0017
KENYA,PHS001,2044,0.0053
KENYA,PHS001,2045,0.0129
KENYA,PHS001,2046,0.0153
KENYA,PHS001,2047,0.0161
KENYA,PHS001,2048,0.0161
KENYA,PHS001,2049,0.0161
KENYA,PHS001,2050,0.0161
KENYA,PHS002,2038,0.0006
KENYA,PHS002,2039,0.0006
KENYA,PHS002,2040,0.0006
KENYA,PHS002,2041,0.0014
KENYA,PHS002,2042,0.0015
KENYA,PHS002,2043,0.0031
KENYA,PHS002,2044,0.0032
KENYA,PHS002,2045,0.0139
KENYA,PHS002,2046,0.0161
KENYA,PHS002,2047,0.0161
KENYA,PHS002,2048,0.0161
KENYA,PHS002,2049,0.0161
KENYA,PHS002,2050,0.0161
