r,s,y,CapitalInvestmentStorage
KENYA,PHS001,2035,7.8112
KENYA,PHS001,2036,28.6442
KENYA,PHS001,2037,3.6454
KENYA,PHS001,2038,3.6604
KENYA,PHS001,2039,13.8306
KENYA,PHS001,2040,25.3305
KENYA,PHS001,2043,0.0524
KENYA,PHS001,2046,0.6191
KENYA,PHS001,2047,0.2229
KENYA,PHS001,2048,3.1751
KENYA,PHS001,2049,2.5865
KENYA,PHS001,2050,1.9971
KENYA,PHS002,2034,56.8673
KENYA,PHS002,2035,12.2463
KENYA,PHS002,2036,4.9841
KENYA,PHS002,2038,2.9244
KENYA,PHS002,2039,1.1705
KENYA,PHS002,2040,14.774
KENYA,PHS002,2043,14.8504
KENYA,PHS002,2044,1.8902
