r,s,y,DiscountedCapitalInvestmentStorage
KENYA,PHS001,2035,1.9965
KENYA,PHS001,2036,6.723
KENYA,PHS001,2037,0.7857
KENYA,PHS001,2038,0.7244
KENYA,PHS001,2039,2.5135
KENYA,PHS001,2040,4.2272
KENYA,PHS001,2043,0.0068
KENYA,PHS001,2046,0.0619
KENYA,PHS001,2047,0.0205
KENYA,PHS001,2048,0.2679
KENYA,PHS001,2049,0.2004
KENYA,PHS001,2050,0.1421
KENYA,PHS002,2034,15.8287
KENYA,PHS002,2035,3.1301
KENYA,PHS002,2036,1.1698
KENYA,PHS002,2038,0.5788
KENYA,PHS002,2039,0.2127
KENYA,PHS002,2040,2.4655
KENYA,PHS002,2043,1.919
KENYA,PHS002,2044,0.2243
