r,s,y,NewStorageCapacity
KENYA,PHS001,2035,0.0003
KENYA,PHS001,2036,0.0013
KENYA,PHS001,2037,0.0002
KENYA,PHS001,2038,0.0002
KENYA,PHS001,2039,0.0006
KENYA,PHS001,2040,0.0011
KENYA,PHS001,2043,0.0
KENYA,PHS001,2046,0.0
KENYA,PHS001,2047,0.0
KENYA,PHS001,2048,0.0001
KENYA,PHS001,2049,0.0001
KENYA,PHS001,2050,0.0001
KENYA,PHS002,2034,0.0025
KENYA,PHS002,2035,0.0005
KENYA,PHS002,2036,0.0002
KENYA,PHS002,2038,0.0001
KENYA,PHS002,2039,0.0001
KENYA,PHS002,2040,0.0007
KENYA,PHS002,2043,0.0007
KENYA,PHS002,2044,0.0001
KENYA,BESS001,2022,0.0004
KENYA,BESS001,2024,0.0014
KENYA,BESS001,2025,0.0048
KENYA,BESS001,2044,0.0029
KENYA,BESS001,2045,0.003
KENYA,BESS001,2046,0.0042
KENYA,BESS001,2047,0.0051
KENYA,BESS001,2048,0.0046
KENYA,BESS001,2049,0.0044
KENYA,BESS001,2050,0.0083
